subject,recall,item_who,word_who,list,soa,listtype
12,0,oddball,violacion,16,2,emotional
12,1,oddball,asfixia,18,4,emotional
12,1,oddball,asesino,19,1,emotional
12,1,oddball,nazi,21,4,emotional
12,0,oddball,crimen,22,3,emotional
12,0,oddball,plaga,23,1,emotional
12,1,oddball,masacre,25,2,emotional
12,1,oddball,sufrimiento,26,3,emotional
12,1,oddball,paraplejico,27,6,emotional
12,1,oddball,cancer,28,6,emotional
12,1,oddball,ceguera,29,4,emotional
12,1,oddball,traidor,31,3,emotional
12,1,oddball,tumor,33,2,emotional
12,1,oddball,suicida,34,4,emotional
12,1,oddball,terrorista,39,2,emotional
12,1,oddball,amputacion,40,1,emotional
14,0,oddball,sufrimiento,1,3,emotional
14,1,oddball,masacre,2,3,emotional
14,1,oddball,terrorista,3,4,emotional
14,0,oddball,hambruna,4,1,emotional
14,1,oddball,ahogado,6,2,emotional
14,1,oddball,morgue,9,2,emotional
14,1,oddball,asesino,12,1,emotional
14,0,oddball,paraplejico,14,3,emotional
14,1,oddball,asfixia,15,3,emotional
14,1,oddball,nazi,16,2,emotional
14,1,oddball,amputacion,18,2,emotional
14,1,oddball,tumor,19,1,emotional
14,1,oddball,traidor,20,6,emotional
14,0,oddball,ceguera,21,6,emotional
14,1,oddball,violacion,22,6,emotional
14,0,oddball,sida,25,4,emotional
14,1,oddball,suicida,27,4,emotional
14,1,oddball,crimen,30,6,emotional
14,1,oddball,plaga,36,4,emotional
14,1,oddball,cancer,38,1,emotional
15,1,oddball,morgue,3,6,emotional
15,1,oddball,sida,5,6,emotional
15,1,oddball,asesino,6,2,emotional
15,0,oddball,ahogado,8,3,emotional
15,1,oddball,hambruna,10,4,emotional
15,1,oddball,cancer,11,2,emotional
15,1,oddball,paraplejico,14,3,emotional
15,1,oddball,tumor,16,6,emotional
15,1,oddball,violacion,17,4,emotional
15,1,oddball,suicida,19,1,emotional
15,0,oddball,plaga,20,6,emotional
15,1,oddball,nazi,22,4,emotional
15,0,oddball,terrorista,25,2,emotional
15,1,oddball,ceguera,26,3,emotional
15,1,oddball,masacre,30,1,emotional
15,0,oddball,crimen,32,2,emotional
15,1,oddball,amputacion,35,4,emotional
15,1,oddball,traidor,37,1,emotional
15,1,oddball,sufrimiento,38,3,emotional
15,1,oddball,asfixia,39,1,emotional
16,0,oddball,traidor,1,1,emotional
16,1,oddball,suicida,3,6,emotional
16,0,oddball,ceguera,4,2,emotional
16,0,oddball,masacre,5,2,emotional
16,0,oddball,asesino,6,6,emotional
16,1,oddball,amputacion,8,6,emotional
16,1,oddball,crimen,9,3,emotional
16,1,oddball,sida,10,2,emotional
16,1,oddball,terrorista,12,3,emotional
16,1,oddball,morgue,14,4,emotional
16,1,oddball,sufrimiento,18,1,emotional
16,1,oddball,tumor,23,2,emotional
16,1,oddball,hambruna,24,6,emotional
16,1,oddball,plaga,26,3,emotional
16,0,oddball,asfixia,30,1,emotional
16,0,oddball,cancer,31,4,emotional
16,1,oddball,violacion,32,4,emotional
16,1,oddball,nazi,36,4,emotional
16,0,oddball,paraplejico,38,3,emotional
16,0,oddball,ahogado,39,1,emotional
17,1,oddball,asfixia,3,3,emotional
17,1,oddball,nazi,5,6,emotional
17,0,oddball,asesino,6,2,emotional
17,0,oddball,tumor,8,1,emotional
17,1,oddball,amputacion,10,4,emotional
17,0,oddball,suicida,11,4,emotional
17,0,oddball,plaga,12,3,emotional
17,1,oddball,morgue,15,2,emotional
17,1,oddball,masacre,17,2,emotional
17,1,oddball,sida,20,4,emotional
17,1,oddball,hambruna,22,6,emotional
17,0,oddball,traidor,23,3,emotional
17,0,oddball,cancer,24,1,emotional
