subject,age,gender,word,list,oddtype,rating
5,27,M,esmalte,24,perceptual,10
5,27,M,incisivo,24,perceptual,9
5,27,M,conductor,25,perceptual,8
5,27,M,piloto,25,perceptual,7
5,27,M,calle,25,perceptual,10
5,27,M,moto,25,perceptual,10
5,27,M,camino,25,perceptual,4
5,27,M,coche,25,perceptual,10
5,27,M,avenida,25,perceptual,10
5,27,M,bicicleta,25,perceptual,9
5,27,M,tranvia,25,perceptual,6
5,27,M,autobus,25,perceptual,10
5,27,M,chofer,25,perceptual,9
5,27,M,ruta,25,perceptual,3
5,27,M,tren,25,perceptual,4
5,27,M,camion,25,perceptual,4
5,27,M,carpintero,26,perceptual,7
5,27,M,cincel,26,perceptual,10
5,27,M,hierro,26,perceptual,10
5,27,M,tornillo,26,perceptual,10
5,27,M,madera,26,perceptual,10
5,27,M,pared,26,perceptual,9
5,27,M,clavo,26,perceptual,10
5,27,M,cuna_v2,26,perceptual,10
5,27,M,martillo,26,perceptual,10
5,27,M,metal,26,perceptual,7
5,27,M,tijeras,26,perceptual,9
5,27,M,tuerca,26,perceptual,10
5,27,M,puntilla,26,perceptual,10
5,27,M,herramienta,26,perceptual,9
5,27,M,dirigente,27,perceptual,9
5,27,M,lider,27,perceptual,6
5,27,M,marques,27,perceptual,10
5,27,M,soberano,27,perceptual,5
5,27,M,emperador,27,perceptual,10
5,27,M,presidente,27,perceptual,10
5,27,M,principe,27,perceptual,10
5,27,M,nacion,27,perceptual,4
5,27,M,reina,27,perceptual,10
5,27,M,alcalde,27,perceptual,10
5,27,M,noble,27,perceptual,10
5,27,M,gobernador,27,perceptual,10
5,27,M,jefe,27,perceptual,10
5,27,M,monarquia,27,perceptual,10
5,27,M,mascota,28,perceptual,10
5,27,M,loro,28,perceptual,1
5,27,M,tortuga,28,perceptual,6
5,27,M,gato,28,perceptual,10
5,27,M,conjeo,28,perceptual,6
5,27,M,huron ,28,perceptual,4
5,27,M,periquito,28,perceptual,6
5,27,M,poni,28,perceptual,4
5,27,M,hamster,28,perceptual,9
5,27,M,canario,28,perceptual,7
5,27,M,ardilla,28,perceptual,3
5,27,M,perro,28,perceptual,10
5,27,M,raton,28,perceptual,5
5,27,M,pato,28,perceptual,5
5,27,M,sonido,29,perceptual,9
5,27,M,eco,29,perceptual,4
5,27,M,radio,29,perceptual,4
5,27,M,cancion,29,perceptual,10
5,27,M,tono,29,perceptual,9
5,27,M,murmullo,29,perceptual,2
5,27,M,voz,29,perceptual,10
5,27,M,volumen,29,perceptual,7
5,27,M,bajo,29,perceptual,5
5,27,M,cantante,29,perceptual,10
5,27,M,estrofa,29,perceptual,9
5,27,M,decibel,29,perceptual,5
5,27,M,oido,29,perceptual,7
5,27,M,entonacion,29,perceptual,10
5,27,M,periodico,30,perceptual,9
5,27,M,leyenda,30,perceptual,1
5,27,M,escritor,30,perceptual,10
5,27,M,encabezado,30,perceptual,10
5,27,M,articulo,30,perceptual,10
5,27,M,columna,30,perceptual,10
5,27,M,prensa,30,perceptual,10
5,27,M,noticia,30,perceptual,10
5,27,M,reportero,30,perceptual,6
5,27,M,anuncio,30,perceptual,5
5,27,M,periodista,30,perceptual,9
5,27,M,revista,30,perceptual,9
5,27,M,editorial,30,perceptual,9
5,27,M,imprenta,30,perceptual,7
5,27,M,temperatura,31,perceptual,10
5,27,M,cafetera,31,perceptual,4
5,27,M,templado,31,perceptual,6
5,27,M,chimenea,31,perceptual,10
5,27,M,brasero,31,perceptual,4
5,27,M,calefaccion,31,perceptual,10
5,27,M,vaho,31,perceptual,8
5,27,M,estufa,31,perceptual,10
5,27,M,pipa,31,perceptual,2
5,27,M,asador,31,perceptual,1
5,27,M,gas,31,perceptual,10
5,27,M,carbon,31,perceptual,4
5,27,M,calentador,31,perceptual,10
5,27,M,horno,31,perceptual,5
5,27,M,bebe,32,perceptual,10
5,27,M,madre,32,perceptual,10
5,27,M,nacimiento,32,perceptual,10
5,27,M,nino,32,perceptual,10
5,27,M,crio,32,perceptual,10
5,27,M,embarazo,32,perceptual,10
5,27,M,parto,32,perceptual,10
5,27,M,cuna,32,perceptual,8
5,27,M,hijo,32,perceptual,10
5,27,M,biberon,32,perceptual,9
5,27,M,padre,32,perceptual,9
5,27,M,chico,32,perceptual,10
5,27,M,matrona,32,perceptual,10
5,27,M,concepcion,32,perceptual,10
5,27,M,matrimonio,33,perceptual,10
5,27,M,familia,33,perceptual,9
5,27,M,marido,33,perceptual,9
5,27,M,nupcias,33,perceptual,5
5,27,M,velo,33,perceptual,8
5,27,M,invitacion,33,perceptual,6
5,27,M,vestido,33,perceptual,7
5,27,M,anillo,33,perceptual,10
5,27,M,boda,33,perceptual,10
5,27,M,compromiso,33,perceptual,9
5,27,M,esposa,33,perceptual,9
5,27,M,padrino,33,perceptual,5
