enc_pos,rec_pos,list_type,subject,item
12,,perceptual,33,control
7,6,emotional,33,control
12,2,emotional,33,control
8,1,emotional,33,control
12,11,perceptual,33,control
13,4,perceptual,33,control
12,,perceptual,33,control
12,1,emotional,33,control
11,,emotional,33,control
7,,emotional,33,control
8,1,perceptual,33,control
12,,perceptual,33,control
13,,perceptual,33,control
7,6,perceptual,33,control
11,6,perceptual,34,control
8,2,emotional,34,control
7,4,emotional,34,control
12,4,emotional,34,control
8,4,perceptual,34,control
13,2,perceptual,34,control
7,2,emotional,34,control
11,4,perceptual,34,control
12,1,emotional,34,control
12,,emotional,34,control
11,7,perceptual,34,control
13,,emotional,34,control
12,6,perceptual,34,control
13,,emotional,34,control
13,8,emotional,34,control
12,,perceptual,34,control
7,,perceptual,34,control
13,,perceptual,34,control
12,2,perceptual,34,control
13,,perceptual,34,control
12,1,emotional,34,control
13,6,perceptual,34,control
12,5,perceptual,34,control
12,7,emotional,34,control
12,10,emotional,34,control
13,4,emotional,34,control
11,7,perceptual,34,control
12,5,perceptual,34,control
12,5,perceptual,34,control
13,,emotional,34,control
8,1,emotional,34,control
11,9,perceptual,34,control
7,5,emotional,34,control
12,,perceptual,34,control
8,,emotional,34,control
7,2,perceptual,34,control
13,9,perceptual,34,control
13,,emotional,34,control
7,,emotional,34,control
13,10,emotional,34,control
8,5,emotional,35,control
13,4,emotional,35,control
13,,emotional,35,control
