enc_pos,rec_pos,list_type,subject,item
8,5,emotional,17,oddball
11,,perceptual,17,oddball
12,2,emotional,17,oddball
11,,emotional,17,oddball
8,,perceptual,17,oddball
9,,emotional,17,oddball
12,,perceptual,17,oddball
12,9,emotional,17,oddball
12,,emotional,17,oddball
12,,emotional,17,oddball
8,,perceptual,17,oddball
7,9,perceptual,17,oddball
7,1,emotional,17,oddball
12,5,perceptual,17,oddball
7,3,emotional,17,oddball
8,8,perceptual,17,oddball
8,1,perceptual,17,oddball
7,8,emotional,17,oddball
12,4,perceptual,17,oddball
12,8,emotional,17,oddball
12,,emotional,17,oddball
8,,emotional,17,oddball
8,,perceptual,17,oddball
9,,emotional,17,oddball
7,,perceptual,17,oddball
11,5,emotional,17,oddball
7,,emotional,17,oddball
7,,emotional,17,oddball
12,1,perceptual,17,oddball
11,7,perceptual,17,oddball
12,,perceptual,17,oddball
12,7,perceptual,17,oddball
12,,perceptual,17,oddball
7,10,emotional,17,oddball
12,,emotional,17,oddball
7,,emotional,17,oddball
12,3,perceptual,17,oddball
11,5,perceptual,17,oddball
12,7,perceptual,18,oddball
12,,perceptual,18,oddball
9,1,emotional,18,oddball
12,,perceptual,18,oddball
7,2,perceptual,18,oddball
8,,perceptual,18,oddball
12,6,emotional,18,oddball
12,8,emotional,18,oddball
9,10,perceptual,18,oddball
7,11,emotional,18,oddball
12,7,emotional,18,oddball
8,,emotional,18,oddball
7,7,perceptual,18,oddball
9,7,perceptual,18,oddball
9,3,perceptual,18,oddball
8,1,perceptual,18,oddball
7,6,emotional,18,oddball
8,6,perceptual,18,oddball
11,,perceptual,18,oddball
12,,emotional,18,oddball
11,7,emotional,18,oddball
8,,emotional,18,oddball
12,,perceptual,18,oddball
8,5,emotional,18,oddball
12,,perceptual,18,oddball
12,5,emotional,18,oddball
9,1,perceptual,18,oddball
7,7,emotional,18,oddball
9,2,emotional,18,oddball
12,6,emotional,18,oddball
12,2,perceptual,18,oddball
7,7,emotional,18,oddball
12,5,perceptual,18,oddball
9,6,emotional,18,oddball
11,,perceptual,18,oddball
8,4,emotional,18,oddball
12,8,emotional,18,oddball
9,11,emotional,18,oddball
12,,perceptual,18,oddball
9,4,perceptual,18,oddball
9,,emotional,19,oddball
7,,emotional,19,oddball
7,,emotional,19,oddball
12,,perceptual,19,oddball
7,4,emotional,19,oddball
7,11,perceptual,19,oddball
7,5,emotional,19,oddball
7,,perceptual,19,oddball
7,,perceptual,19,oddball
7,4,emotional,19,oddball
9,6,perceptual,19,oddball
12,5,perceptual,19,oddball
12,12,perceptual,19,oddball
9,,emotional,19,oddball
7,4,perceptual,19,oddball
7,4,emotional,19,oddball
9,6,emotional,19,oddball
12,,emotional,19,oddball
11,,perceptual,19,oddball
12,,emotional,19,oddball
12,2,perceptual,19,oddball
7,4,perceptual,19,oddball
7,9,emotional,19,oddball
8,,perceptual,19,oddball
8,2,emotional,19,oddball
8,10,perceptual,19,oddball
7,5,emotional,19,oddball
7,,perceptual,19,oddball
8,,perceptual,19,oddball
8,,emotional,19,oddball
8,9,perceptual,19,oddball
7,,emotional,19,oddball
12,3,emotional,19,oddball
12,3,perceptual,19,oddball
8,8,perceptual,19,oddball
9,4,emotional,19,oddball
8,3,emotional,19,oddball
7,,emotional,19,oddball
12,7,perceptual,19,oddball
7,5,perceptual,19,oddball
12,,perceptual,20,oddball
12,3,perceptual,20,oddball
9,,perceptual,20,oddball
12,3,perceptual,20,oddball
7,3,emotional,20,oddball
7,,emotional,20,oddball
12,11,emotional,20,oddball
12,3,perceptual,20,oddball
7,,emotional,20,oddball
12,3,perceptual,20,oddball
7,,perceptual,20,oddball
7,2,emotional,20,oddball
7,,emotional,20,oddball
12,4,perceptual,20,oddball
9,7,perceptual,20,oddball
8,,emotional,20,oddball
12,9,perceptual,20,oddball
8,2,perceptual,20,oddball
12,3,perceptual,20,oddball
12,,emotional,20,oddball
7,7,emotional,20,oddball
7,1,emotional,20,oddball
8,5,emotional,20,oddball
12,3,perceptual,20,oddball
11,4,perceptual,20,oddball
7,1,emotional,20,oddball
12,5,emotional,20,oddball
12,,perceptual,20,oddball
8,,perceptual,20,oddball
7,6,perceptual,20,oddball
11,,emotional,20,oddball
8,,emotional,20,oddball
7,2,perceptual,20,oddball
11,3,emotional,20,oddball
7,1,perceptual,20,oddball
12,4,emotional,20,oddball
11,4,emotional,20,oddball
11,1,perceptual,20,oddball
11,,emotional,20,oddball
8,,emotional,20,oddball
9,,perceptual,21,oddball
11,,perceptual,21,oddball
