subject,age,gender,word,salience,list,rating 
9,35,M,dentista,neutral,24,3
9,35,M,hilo,neutral,24,1
9,35,M,fluoruro,neutral,24,1
9,35,M,molar,neutral,24,2
9,35,M,chicle,neutral,24,-6
9,35,M,oral,neutral,24,4
9,35,M,cepillo,neutral,24,2
9,35,M,paladar,neutral,24,4
9,35,M,saliva,neutral,24,4
9,35,M,diente,neutral,24,3
9,35,M,mandibula,neutral,24,3
9,35,M,esmalte,neutral,24,1
9,35,M,incisivo,neutral,24,1
9,35,M,conductor,neutral,25,3
9,35,M,piloto,neutral,25,6
9,35,M,calle,neutral,25,5
9,35,M,moto,neutral,25,3
9,35,M,camino,neutral,25,6
9,35,M,coche,neutral,25,5
9,35,M,avenida,neutral,25,5
9,35,M,bicicleta,neutral,25,6
9,35,M,tranvia,neutral,25,5
9,35,M,autobus,neutral,25,4
9,35,M,chofer,neutral,25,4
9,35,M,ruta,neutral,25,6
9,35,M,tren,neutral,25,6
9,35,M,camion,neutral,25,5
9,35,M,carpintero,neutral,26,0
9,35,M,cincel,neutral,26,3
9,35,M,hierro,neutral,26,2
9,35,M,tornillo,neutral,26,2
9,35,M,madera,neutral,26,3
9,35,M,pared,neutral,26,1
9,35,M,clavo,neutral,26,1
9,35,M,cuna_v2,neutral,26,1
9,35,M,martillo,neutral,26,3
9,35,M,metal,neutral,26,2
9,35,M,tijeras,neutral,26,0
9,35,M,tuerca,neutral,26,2
9,35,M,puntilla,neutral,26,1
9,35,M,herramienta,neutral,26,3
9,35,M,dirigente,neutral,27,-3
9,35,M,lider,neutral,27,1
9,35,M,marques,neutral,27,-6
9,35,M,soberano,neutral,27,-6
9,35,M,emperador,neutral,27,6
9,35,M,presidente,neutral,27,2
9,35,M,principe,neutral,27,-6
9,35,M,nacion,neutral,27,-6
9,35,M,reina,neutral,27,-3
9,35,M,alcalde,neutral,27,0
9,35,M,noble,neutral,27,-6
9,35,M,gobernador,neutral,27,-2
9,35,M,jefe,neutral,27,-1
9,35,M,monarquia,neutral,27,-6
9,35,M,mascota,neutral,28,4
9,35,M,loro,neutral,28,5
9,35,M,tortuga,neutral,28,4
9,35,M,gato,neutral,28,3
9,35,M,conjeo,neutral,28,4
9,35,M,huron ,neutral,28,4
9,35,M,periquito,neutral,28,4
9,35,M,poni,neutral,28,3
9,35,M,hamster,neutral,28,3
9,35,M,canario,neutral,28,5
9,35,M,ardilla,neutral,28,4
9,35,M,perro,neutral,28,3
9,35,M,raton,neutral,28,3
9,35,M,pato,neutral,28,6
9,35,M,sonido,neutral,29,5
9,35,M,eco,neutral,29,4
9,35,M,radio,neutral,29,4
9,35,M,cancion,neutral,29,3
9,35,M,tono,neutral,29,2
9,35,M,murmullo,neutral,29,4
9,35,M,voz,neutral,29,2
9,35,M,volumen,neutral,29,3
9,35,M,bajo,neutral,29,1
9,35,M,cantante,neutral,29,3
9,35,M,estrofa,neutral,29,1
9,35,M,decibel,neutral,29,3
9,35,M,oido,neutral,29,2
9,35,M,entonacion,neutral,29,2
9,35,M,periodico,neutral,30,2
9,35,M,leyenda,neutral,30,3
9,35,M,escritor,neutral,30,3
9,35,M,encabezado,neutral,30,1
9,35,M,articulo,neutral,30,2
9,35,M,columna,neutral,30,2
9,35,M,prensa,neutral,30,-1
9,35,M,noticia,neutral,30,2
9,35,M,reportero,neutral,30,2
9,35,M,anuncio,neutral,30,1
9,35,M,periodista,neutral,30,1
9,35,M,revista,neutral,30,4
9,35,M,editorial,neutral,30,1
9,35,M,imprenta,neutral,30,3
9,35,M,temperatura,neutral,31,4
9,35,M,cafetera,neutral,31,1
9,35,M,templado,neutral,31,2
9,35,M,chimenea,neutral,31,5
9,35,M,brasero,neutral,31,4
9,35,M,calefaccion,neutral,31,2
9,35,M,vaho,neutral,31,2
9,35,M,estufa,neutral,31,3
9,35,M,pipa,neutral,31,1
9,35,M,asador,neutral,31,4
9,35,M,gas,neutral,31,4
9,35,M,carbon,neutral,31,3
9,35,M,calentador,neutral,31,1
9,35,M,horno,neutral,31,3
9,35,M,bebe,neutral,32,3
9,35,M,madre,neutral,32,5
9,35,M,nacimiento,neutral,32,4
9,35,M,nino,neutral,32,3
9,35,M,crio,neutral,32,4
9,35,M,embarazo,neutral,32,3
9,35,M,parto,neutral,32,4
9,35,M,cuna,neutral,32,2
9,35,M,hijo,neutral,32,4
9,35,M,biberon,neutral,32,4
9,35,M,padre,neutral,32,5
9,35,M,chico,neutral,32,2
9,35,M,matrona,neutral,32,5
9,35,M,concepcion,neutral,32,0
9,35,M,matrimonio,neutral,33,6
9,35,M,familia,neutral,33,6
9,35,M,marido,neutral,33,6
9,35,M,nupcias,neutral,33,3
9,35,M,velo,neutral,33,6
9,35,M,invitacion,neutral,33,6
9,35,M,vestido,neutral,33,6
9,35,M,anillo,neutral,33,6
9,35,M,boda,neutral,33,6
9,35,M,compromiso,neutral,33,6
9,35,M,esposa,neutral,33,5
9,35,M,padrino,neutral,33,5
9,35,M,aniversario,neutral,33,6
9,35,M,novia,neutral,33,6
9,35,M,capilla,neutral,34,-1
9,35,M,piano,neutral,34,2
9,35,M,monasterio,neutral,34,2
9,35,M,clero,neutral,34,-1
9,35,M,fe,neutral,34,-2
9,35,M,campanario,neutral,34,3
9,35,M,ministro,neutral,34,0
9,35,M,coro,neutral,34,0
9,35,M,comunion,neutral,34,1
9,35,M,catedral,neutral,34,2
9,35,M,dios,neutral,34,-3
9,35,M,convento,neutral,34,1
9,35,M,ceremonia,neutral,34,3
9,35,M,entrega,neutral,34,2
9,35,M,sueno,neutral,35,3
9,35,M,dormitorio,neutral,35,3
9,35,M,noche,neutral,35,5
9,35,M,ocaso,neutral,35,6
9,35,M,anochecer,neutral,35,6
9,35,M,reloj,neutral,35,4
9,35,M,cortina,neutral,35,0
9,35,M,sabana,neutral,35,2
9,35,M,alcoba,neutral,35,6
9,35,M,pijama,neutral,35,4
9,35,M,habitacion,neutral,35,5
9,35,M,luna,neutral,35,6
9,35,M,almohada,neutral,35,5
9,35,M,manta,neutral,35,6
9,35,M,vivienda,neutral,36,5
9,35,M,inquilino,neutral,36,5
9,35,M,chalet,neutral,36,6
9,35,M,mansion,neutral,36,6
9,35,M,sotano,neutral,36,6
9,35,M,casa,neutral,36,5
9,35,M,habitante,neutral,36,4
9,35,M,bano,neutral,36,6
9,35,M,domicilio,neutral,36,5
9,35,M,piso,neutral,36,5
9,35,M,propietario,neutral,36,4
9,35,M,apartamento,neutral,36,5
9,35,M,cabana,neutral,36,6
9,35,M,planta,neutral,36,6
9,35,M,oceano,neutral,37,6
9,35,M,mediterraneo,neutral,37,6
9,35,M,barco,neutral,37,5
9,35,M,pez,neutral,37,4
9,35,M,bacalao,neutral,37,3
9,35,M,ola,neutral,37,6
9,35,M,orilla,neutral,37,6
9,35,M,puerto,neutral,37,5
9,35,M,anochoa,neutral,37,4
9,35,M,trucha,neutral,37,3
9,35,M,salmon ,neutral,37,5
9,35,M,sardina,neutral,37,5
9,35,M,atun,neutral,37,5
9,35,M,coral,neutral,37,4
9,35,M,educacion,neutral,38,4
9,35,M,profesor,neutral,38,4
9,35,M,estudiante,neutral,38,4
9,35,M,colegio,neutral,38,4
9,35,M,escuela,neutral,38,4
9,35,M,academia,neutral,38,2
9,35,M,universidad,neutral,38,5
9,35,M,maestro,neutral,38,5
9,35,M,pedagogia,neutral,38,2
9,35,M,aula,neutral,38,2
9,35,M,conocimiento,neutral,38,5
9,35,M,leccion,neutral,38,4
9,35,M,titulo,neutral,38,5
9,35,M,diploma,neutral,38,3
9,35,M,prado,neutral,39,6
9,35,M,gestarse,neutral,39,0
9,35,M,arroz,neutral,39,6
9,35,M,semilla,neutral,39,6
9,35,M,cereles,neutral,39,3
9,35,M,cosecha,neutral,39,6
9,35,M,maizal,neutral,39,6
9,35,M,harina,neutral,39,4
9,35,M,granjero,neutral,39,6
9,35,M,tractor,neutral,39,6
9,35,M,trigo,neutral,39,4
9,35,M,cultivo,neutral,39,6
9,35,M,cebada,neutral,39,6
9,35,M,maiz ,neutral,39,6
9,35,M,descnaso,neutral,40,6
9,35,M,cama,neutral,40,5
9,35,M,cojin,neutral,40,4
9,35,M,pausa,neutral,40,5
9,35,M,recostarse,neutral,40,4
9,35,M,sillon,neutral,40,6
9,35,M,hamaca,neutral,40,6
9,35,M,silencioso,neutral,40,5
9,35,M,siesta,neutral,40,6
9,35,M,dormitar,neutral,40,5
9,35,M,pensionado,neutral,40,0
9,35,M,paz,neutral,40,6
9,35,M,relajarse,neutral,40,4
9,35,M,colchon,neutral,40,6
10,21,M,violacion,eodd,1,-6
10,21,M,norma,neutral,1,2
10,21,M,ley,neutral,1,1
