subject,oddballtype,transition,direction,wordposition,CRP
62,highrec,to,Backwards,1,NaN
63,highrec,to,Backwards,1,0
64,highrec,to,Backwards,1,NaN
65,highrec,to,Backwards,1,0
66,highrec,to,Backwards,1,0
67,highrec,to,Backwards,1,0.5
68,highrec,to,Backwards,1,0
69,highrec,to,Backwards,1,0
70,highrec,to,Backwards,1,0.666666666666667
71,highrec,to,Backwards,1,0
72,highrec,to,Backwards,1,NaN
73,highrec,to,Backwards,1,1
74,highrec,to,Backwards,1,NaN
75,highrec,to,Backwards,1,0
4,highrec,to,Forwards,1,1
5,highrec,to,Forwards,1,0
6,highrec,to,Forwards,1,0
7,highrec,to,Forwards,1,1
9,highrec,to,Forwards,1,0.333333333333333
10,highrec,to,Forwards,1,0
11,highrec,to,Forwards,1,0.75
12,highrec,to,Forwards,1,0.4
14,highrec,to,Forwards,1,0
15,highrec,to,Forwards,1,0.333333333333333
16,highrec,to,Forwards,1,0
17,highrec,to,Forwards,1,0
18,highrec,to,Forwards,1,0.25
19,highrec,to,Forwards,1,0.333333333333333
20,highrec,to,Forwards,1,1
21,highrec,to,Forwards,1,0
22,highrec,to,Forwards,1,0.142857142857143
23,highrec,to,Forwards,1,0
24,highrec,to,Forwards,1,0
25,highrec,to,Forwards,1,0.666666666666667
26,highrec,to,Forwards,1,0.5
27,highrec,to,Forwards,1,0
28,highrec,to,Forwards,1,NaN
29,highrec,to,Forwards,1,0.5
30,highrec,to,Forwards,1,NaN
31,highrec,to,Forwards,1,0
32,highrec,to,Forwards,1,0
33,highrec,to,Forwards,1,0.5
34,highrec,to,Forwards,1,0.333333333333333
35,highrec,to,Forwards,1,0.5
36,highrec,to,Forwards,1,NaN
37,highrec,to,Forwards,1,1
38,highrec,to,Forwards,1,0.333333333333333
39,highrec,to,Forwards,1,0.666666666666667
40,highrec,to,Forwards,1,0.5
41,highrec,to,Forwards,1,0
42,highrec,to,Forwards,1,0
43,highrec,to,Forwards,1,0
44,highrec,to,Forwards,1,1
45,highrec,to,Forwards,1,0
46,highrec,to,Forwards,1,1
47,highrec,to,Forwards,1,0
48,highrec,to,Forwards,1,0
49,highrec,to,Forwards,1,0.25
50,highrec,to,Forwards,1,0.333333333333333
51,highrec,to,Forwards,1,0
52,highrec,to,Forwards,1,1
53,highrec,to,Forwards,1,0.5
54,highrec,to,Forwards,1,0.4
