subject,oddballtype,transition,direction,wordposition,CRP
58,amn,to,Forwards,1,NaN
59,amn,to,Forwards,1,0
60,amn,to,Forwards,1,0
61,amn,to,Forwards,1,1
62,amn,to,Forwards,1,0.5
63,amn,to,Forwards,1,0.333333333333333
64,amn,to,Forwards,1,NaN
65,amn,to,Forwards,1,0
66,amn,to,Forwards,1,NaN
67,amn,to,Forwards,1,NaN
68,amn,to,Forwards,1,0
69,amn,to,Forwards,1,0
70,amn,to,Forwards,1,1
71,amn,to,Forwards,1,NaN
73,amn,to,Forwards,1,1
74,amn,to,Forwards,1,NaN
75,amn,to,Forwards,1,0.5
4,amn,to,Forwards,2,NaN
5,amn,to,Forwards,2,NaN
6,amn,to,Forwards,2,NaN
7,amn,to,Forwards,2,NaN
9,amn,to,Forwards,2,0
10,amn,to,Forwards,2,0.2
11,amn,to,Forwards,2,0
12,amn,to,Forwards,2,0.666666666666667
14,amn,to,Forwards,2,NaN
15,amn,to,Forwards,2,0
16,amn,to,Forwards,2,0
17,amn,to,Forwards,2,0
18,amn,to,Forwards,2,0.25
19,amn,to,Forwards,2,0.5
20,amn,to,Forwards,2,NaN
21,amn,to,Forwards,2,0.5
22,amn,to,Forwards,2,1
23,amn,to,Forwards,2,0
24,amn,to,Forwards,2,1
25,amn,to,Forwards,2,0
26,amn,to,Forwards,2,NaN
27,amn,to,Forwards,2,NaN
28,amn,to,Forwards,2,0.5
29,amn,to,Forwards,2,NaN
30,amn,to,Forwards,2,1
31,amn,to,Forwards,2,0
32,amn,to,Forwards,2,0
33,amn,to,Forwards,2,NaN
34,amn,to,Forwards,2,0
35,amn,to,Forwards,2,0.666666666666667
36,amn,to,Forwards,2,1
37,amn,to,Forwards,2,0
38,amn,to,Forwards,2,0
39,amn,to,Forwards,2,0
40,amn,to,Forwards,2,NaN
41,amn,to,Forwards,2,NaN
42,amn,to,Forwards,2,0
43,amn,to,Forwards,2,0.5
44,amn,to,Forwards,2,0
45,amn,to,Forwards,2,0
46,amn,to,Forwards,2,0
